ProdNbr_c,Commodity_c,FunctionDesignation_c,ProdName_c,ProdNetWeight_n,ProdNetWeightNbr_n,ManId_c,ManDesignation_c,MC_n,ManStatus_c,ROHSStatus_c,SolderingProcess_c,MaxSolderingTemp_n,ASGId_n,LeadTime_n,LeadTimewithForecast_n,SupplierManufacturingRisk_n,SupplierAggregatedRisk_n,CommercialAggregatedRisk_n,TechnicalAggregatedRisk_n,RecoveryTimeweeks_n,Rampuptimetofullproductionfromfirstdeliveryweeks_n,MRPVol_n,AvgPriceLatestYearUSD_n,Volume_n,target_c
0,6,317,0,42.0,10.0,25,422,1,1,1,0,0,406.0,40.0,12.0,2.0,1.0,1.0,1.0,6.0,10.0,0,0.24969,1776.0,4
0,6,317,0,42.0,10.0,27,422,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.24969,0,4
1,6,47,5,973.0,1000.0,11,168,1,1,1,0,0,418.0,0,0,0,0,0,0,0,0,0,0,0,3
2,6,392,15,972.0,100.0,9,322,1,1,1,1,260.0,418.0,25.0,10.0,3.0,3.0,3.0,3.0,26.0,6.0,67312.0,5.1466199999999995,68510.0,4
3,6,1,24,1.0,1.0,48,602,1,1,1,1,260.0,2126.0,0,0,0,0,0,0,0,0,0,0,0,4
4,6,5,24,1.0,1.0,48,601,1,1,1,1,260.0,2126.0,0,0,0,0,0,0,0,0,0,0,0,4
5,6,93,12,1.0,1.0,32,8,1,1,1,0,0,18167.0,40.0,10.0,3.0,2.0,2.0,2.0,4.0,2.0,24.0,1.16019,720.0,3
6,6,95,12,20.0,1.0,32,9,1,1,1,0,0,18167.0,40.0,10.0,3.0,2.0,2.0,2.0,4.0,2.0,24.0,1.44746,480.0,3
7,6,96,12,1.0,1.0,32,7,1,1,1,0,265.0,18167.0,50.0,10.0,3.0,2.0,2.0,2.0,4.0,2.0,196.0,1.00948,1760.0,3
8,6,94,12,10.0,1.0,32,225,6,1,1,0,240.0,18167.0,0,0,0,0,0,0,0,0,0,0,0,4
9,6,11,13,0,0,51,504,1,1,1,0,0,2941.0,0,0,2.0,1.0,0,1.0,10.0,2.0,0,0,0,3
9,6,11,13,0,0,20,463,1,1,1,0,0,20433.0,0,0,0,0,0,0,0,0,0,0,0,3
10,6,105,5,0,0,51,487,1,1,1,0,0,2941.0,0,0,2.0,1.0,0,1.0,10.0,2.0,0,0,0,3
11,6,87,5,87966.0,10000.0,51,518,1,1,1,0,0,2941.0,0,0,2.0,1.0,0,1.0,10.0,2.0,0,0,0,3
11,6,87,5,87966.0,10000.0,51,517,6,1,1,0,0,2941.0,0,0,0,0,0,0,0,0,0,0,0,3
12,6,97,11,79083.0,10000.0,51,650,1,1,1,0,0,2941.0,0,0,2.0,1.0,0,1.0,10.0,2.0,0,0,0,3
13,6,125,5,10093.0,1000.0,51,508,1,1,1,0,0,2941.0,0,0,2.0,1.0,0,1.0,10.0,2.0,0,0,0,3
13,6,125,5,10093.0,1000.0,51,509,0,1,0,0,0,2941.0,0,0,0,0,0,0,0,0,0,0,0,3
14,6,120,5,12153.0,1000.0,51,523,1,1,1,1,255.0,2941.0,40.0,5.0,2.0,1.0,1.0,1.0,10.0,2.0,2231.0,1.88958,2385.0,4
14,6,120,5,12153.0,1000.0,51,519,4,1,1,1,255.0,2941.0,0,0,0,0,0,0,0,0,2231.0,1.88958,2385.0,4
14,6,120,5,12153.0,1000.0,51,522,6,1,1,1,255.0,2941.0,0,0,0,0,0,0,0,0,2231.0,1.88958,2385.0,4
15,6,117,5,20205.0,1000.0,51,524,1,1,1,1,255.0,2941.0,40.0,8.0,2.0,1.0,0,1.0,10.0,2.0,0,0,0,4
15,6,117,5,20205.0,1000.0,51,496,4,1,1,1,255.0,2941.0,0,0,0,0,0,0,0,0,0,0,0,4
16,6,73,5,0,0,51,494,2,1,0,0,0,2941.0,0,0,0,0,0,0,0,0,0,0,0,4
17,6,76,5,86859.0,10000.0,47,452,1,1,1,0,0,418.0,0,0,3.0,3.0,0,3.0,15.0,15.0,0,0,0,3
18,6,75,5,77123.0,10000.0,47,451,4,1,1,0,260.0,418.0,0,0,0,0,0,0,0,0,0,0,0,4
18,6,75,5,77123.0,10000.0,47,432,1,1,0,0,0,418.0,0,0,0,0,0,0,0,0,0,0,0,4
19,6,76,5,0,0,32,281,1,1,1,0,0,18167.0,154.0,10.0,4.0,2.0,2.0,2.0,4.0,2.0,60.0,0.63421,650.0,3
20,6,72,5,0,0,9,386,1,1,1,2,260.0,418.0,20.0,20.0,3.0,3.0,3.0,3.0,15.0,8.0,0,0.2862,1037.0,3
21,6,0,5,7712.0,1000.0,52,590,1,1,1,0,240.0,96.0,0,0,0,0,0,0,0,0,0,0.635,0,3
21,6,0,5,7712.0,1000.0,47,450,1,1,1,0,260.0,418.0,20.0,20.0,3.0,3.0,3.0,1.0,15.0,8.0,0,0.635,360.0,3
22,6,70,5,1869095.0,100000.0,52,581,0,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,0,0,0,4
23,6,83,5,0,0,52,585,1,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,1920.0,0.475,0,3
23,6,83,5,0,0,47,453,1,1,1,1,260.0,418.0,20.0,20.0,3.0,3.0,3.0,1.0,15.0,8.0,1920.0,0.475,1920.0,3
24,6,59,5,101922.0,10000.0,52,576,1,1,1,2,260.0,96.0,0,0,0,0,0,0,0,0,0,0,0,3
24,6,59,5,101922.0,10000.0,47,456,1,1,1,1,260.0,418.0,0,0,3.0,3.0,0,1.0,15.0,15.0,0,0,0,3
25,6,89,5,1322269.0,100000.0,52,80,4,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,1056.0,0.6009,0,3
25,6,89,5,1322269.0,100000.0,52,573,1,1,1,2,260.0,96.0,0,0,0,0,0,0,0,0,1056.0,0.6009,0,3
25,6,89,5,1322269.0,100000.0,52,572,6,1,0,0,0,96.0,0,0,0,0,0,0,0,0,1056.0,0.6009,0,3
25,6,89,5,1322269.0,100000.0,47,534,1,1,1,1,260.0,418.0,0,0,0,0,0,0,0,0,1056.0,0.6009,0,3
25,6,89,5,1322269.0,100000.0,47,535,1,1,1,1,260.0,418.0,0,0,0,0,0,0,0,0,1056.0,0.6009,0,3
25,6,89,5,1322269.0,100000.0,47,433,1,1,0,0,0,418.0,0,0,0,0,0,0,0,0,1056.0,0.6009,0,3
25,6,89,5,1322269.0,100000.0,32,87,1,1,1,1,260.0,18167.0,0,0,0,0,0,0,0,0,1056.0,0.6009,3727.0,3
25,6,89,5,1322269.0,100000.0,32,238,1,1,1,1,260.0,18167.0,50.0,10.0,3.0,2.0,2.0,1.0,4.0,2.0,1056.0,0.6009,3727.0,3
26,6,91,5,14.0,1.0,52,568,1,1,1,2,260.0,96.0,0,0,0,0,0,0,0,0,1056.0,0.9179999999999999,0,3
26,6,91,5,14.0,1.0,52,570,1,1,1,2,260.0,96.0,0,0,0,0,0,0,0,0,1056.0,0.9179999999999999,0,3
26,6,91,5,14.0,1.0,52,567,6,1,0,0,0,96.0,0,0,0,0,0,0,0,0,1056.0,0.9179999999999999,0,3
